medium;description;compound;bigg_id;formula;exchange_flux
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Cobalamin I (part of vitamine B12);cbl1;C62H88CoN13O14P;
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Alanine;ala__L;C3H7NO2;37.2085636165274
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Arginine;arg__L;C6H15N4O2;20.3518771021335
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Aspartate;asp__L;C4H6NO4;47.0867491277091
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Ca2+;ca2;Ca;18.549079295374
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Cl-;cl;Cl;375.557498660198
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Cu2+;cu2;Cu;0.0356749441349574
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Cysteine;cys__L;C3H7NO2S;7.5118316383043
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Fe2+;fe2;Fe;0.109248813680723
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Fe3+;fe3;Fe;0.109248813680723
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Folate;fol;C19H17N7O6;0.0001346137907466
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;D-Glucose;glc__D;C6H12O6;135.580350130082
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Glutamate;glu__L;C5H8NO4;103.122200527918
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Glycine;gly;C2H5NO2;36.7646862919061
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;H2O;h2o;H2O;165892.342500366
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Histidine;his__L;C6H9N3O2;14.0240766306639
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Isoleucine;ile__L;C6H13NO2;28.9216751325922
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;K+;k;K;83.433806584941
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Leucine;leu__L;C6H13NO2;46.8878099058571
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Lysine;lys__L;C6H15N2O2;33.3115482470592
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Methionine;met__L;C5H11NO2S;10.7274046938804
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Mg;mg2;Mg;14.529932112734
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Mn2+;mn2;Mn;0.07470233059804
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Na+;na1;Na;172.446271718304
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Isonicotinic acid;nac;C6H4NO2;0.30861619226627
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Phenylalanine;phe__L;C9H11NO2;20.7149866425811
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Phosphate;pi;HO4P;14.2266092792925
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;PAN;pnto__R;C9H15NO5;0.0255697049402686
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Proline;pro__L;C5H9NO2;53.8152791831878
